party_id,office_id,social_id,party_name,party_domain,email_address,phone_number,fax_number,is_registered,deregister_reason,updated
1,db11029f-20a9-40c7-97b3-0ca726af6fd7,43668387-6abc-49c5-b0c4-3f9e241a1ffc,Animal Protection Party of Canada,animalprotectionparty.ca,contact@animalprotectionparty.ca,1 (416) 462-9541,1 (416) 462-9647,true,,2022-03-11 05:55:15.452706
2,f12adcc3-d5cc-4e6e-9b62-b37ca2f61a77,,Alliance of the North,,,1 (506) 395-4557,,false,"involuntary deregistration, section 415(3)",2022-03-11 05:55:15.452706
3,3abaf91c-9998-4a36-a204-9e2c15461e1d,913318d3-fbaa-4dd5-b4d7-e3308ed50429,Bloc Quebecois,blocquebecois.org,info@bloc.org,1 (514) 526-3000,1 (514) 526-2868,true,,2022-03-11 05:55:15.452706
4,a86d9863-5cf8-4315-b979-cc0bb31f9d11,,Canada Party,,,1 (306) 260-7446,1 (306) 651-2211,false,"involuntary deregistration, section 415(3)",2022-03-11 05:55:15.452706
5,575b0050-931e-423c-aa82-fb9cc4280abc,,Canadian Action Party,,,1 (250) 547-9428,,false,"involuntary deregistration, section 402",2022-03-11 05:55:15.452706
6,94fc0231-a770-4bba-b148-552955d4aa4c,,Canadian Nationalist Party,,,1 (647) 872-4648,,true,,2022-03-11 05:55:15.452706
7,09dc2b80-2065-48ff-a250-5f011a9568ed,0f99f662-9ba8-4d3a-8b9a-fc22e70b0c4f,Centrist Party of Canada,centristpartycanada.ca,,1 (905) 831-7777,,true,,2022-03-11 05:55:15.452706
8,fb774c5c-4698-4a9f-a36e-8e8395471ad8,86b7cdca-c5e4-4ce9-995c-c7e01c71c597,Christian Heritage Party of Canada,chp.ca,info@chp.ca,1 (613) 248-1818,1 (613) 248-0909,true,,2022-03-11 05:55:15.452706
9,4419b3ec-7140-4987-9807-fc74884c88a5,0c19e1bb-e2f9-49da-8ff4-16b309505373,Communist Party of Canada,communist-party.ca,info@cpc-pcc.ca,1 (416) 469-2446,,true,,2022-03-11 05:55:15.452706
10,7c205a82-87e1-4ec8-a0c0-1833f6bd8e9f,4e9a58f7-e345-4703-8846-92fb288afaef,Conservative Party of Canada,conservative.ca,,1 (866) 808-8407,1 (613) 755-2001,true,,2022-03-11 05:55:15.452706
11,19b8d731-39d1-4dcc-9616-0fbe3fd65e72,,Direct Democracy Party of Canada,fourthfront.ca,,1 (416) 613-1571,,true,,2022-03-11 05:55:15.452706
12,b407ba38-d930-4a58-84a0-b72cb2e2b521,,First Peoples Natioanl Party of Canada,,,1 (705) 561-8004,,false,"voluntary deregistration, section 414",2022-03-11 05:55:15.452706
13,53331d88-1196-43c5-b83d-1787aceed403,,Forces et Democratie,,,1 (418) 476-1359,,false,"involuntary deregistration, section 415(3)",2022-03-11 05:55:15.452706
14,149f418c-f407-4f0d-91d7-32f40f01c816,,Free Party Canada,partilibrecanada.org,info@partilibrecanada.org,1 (438) 938-4802,,true,,2022-03-11 05:55:15.452706
15,d038ea1a-4bbd-4335-8c64-3c154c070f08,389ab942-23f8-4111-9bf1-3d6f4b114b0f,Green Party of Canada,greenparty.ca,,1 (613) 562-4916,1 (613) 706-1424,true,,2022-03-11 05:55:15.452706
16,5180227a-81df-4fe5-966f-70aa0e665690,efa59d7b-eea5-414e-8506-eb0e7db371ac,Liberal Party of Canada,liberal.ca,assistance@liberal.ca,1 (613) 237-0740,1 (613) 235-7208,true,,2022-03-11 05:55:15.452706
